<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  37 14 34 50 50   7   1   0    155     38  0.13    141   13.48    7.57   10.75   -2.65   11.06   -0.50    0.25    1.34   537.8  -535.6    23.4   -43.1  15.89  122896.  9.19   0.27   0.91   8.0   12.75  -34.85  -15.51    9.82   -1.01    0.82  1426 -1048   378    -3   -38    82    61   6.84  5.9
1981  37 14 35 50 99   6 999   0    164     21  0.09     50   13.59    7.92   10.57   -2.85   10.92   -0.73    0.24    1.24 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    9.78   -0.98    0.80  1351 -1039   312    -5   -38    84    66   6.75 99.9
1981  37 14 36 50 99   2 999   0    181      3  0.01     43   13.83    7.73    8.93   -5.84    9.90   -3.97    0.43    3.27 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    9.36   -0.94    0.79  1339  -997   342    -5   -38    84    63   6.47 99.9
1981  37 14 37 50 50   5   1   0    190      1  0.00     50   14.00    6.47    6.75  -10.37    8.66   -8.84    0.09    0.70   538.4  -535.7    25.3   -47.9  16.96  109802.  9.83   4.76   0.86   7.9   12.75  -34.85  -15.51    8.75   -0.91    0.75  1298  -927   371    -4   -39    82    54   6.59  6.0
1981  37 14 38 50 50   4   1   0    192      0  0.01     58   14.41    7.13    8.30   -9.33    9.98   -7.50    0.46    0.97   535.1  -533.0    27.9   -38.3  16.67  128790.  9.55   4.01   0.86   7.6   12.76  -34.84  -15.52    8.95   -0.99    0.63  1264  -881   383    -3   -38    77    52   6.68  5.7
1981  37 14 39 50 99   7 999   0    185      7  0.01     67   13.02    5.87    9.77   -3.00   10.17   -1.00    1.14    5.45 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    9.79   -1.22    0.53  1260  -869   391    -3   -38    72    53   6.76 99.9
1981  37 14 40 50 99   6 999   0    167      4  0.02     77   12.50    0.43    7.06    7.02    5.52    8.29    1.25    6.77 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.67   -1.53    0.39  1283  -925   358    -2   -37    66    52   6.86 99.9
1981  37 14 41 50 50   6   1   0    148      5  0.04     78   14.52   -2.54    4.45   13.45    1.67   14.07    0.09    1.68   535.1  -532.1    55.9    -9.3  10.10  162685.  5.78  -7.53   0.58   5.9   12.80  -34.83  -15.53   11.13   -1.69    0.20  1330  -974   355    -1   -37    62    48   7.01  4.8
1981  37 14 42 50 50   5   1   0    136      3  0.01     72   14.55   -4.00    0.41   13.96   -2.40   13.76    0.06    0.63   536.6  -536.0    25.3     1.9  10.92  127602.  6.29  -7.38   0.55   6.1   12.80  -34.82  -15.54   11.14   -1.23    0.12  1374  -992   381    -1   -40    64    47   7.16  5.0
1981  37 14 43 50 50   1   1   0    128      0  0.00     67   14.67   -3.52    1.61   14.14   -1.27   14.17    0.00    0.00   531.9  -529.5    32.4   -38.0  10.33  130582.  5.85  -7.54   0.52   5.8   12.81  -34.81  -15.54   11.23   -1.31    0.71  1191  -803   387    -1   -41    58    54   6.86  4.8
1981  37 14 44 50 99   4 999   0    128      1  0.01     60   14.37   -3.61    1.57   13.81   -1.25   13.84    0.08    0.16 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.22   -1.30    0.64  1106  -702   403    -2   -42    59    56   6.49 99.9
1981  37 14 45 50 99   5 999   0    134      3  0.01     54   14.38   -3.79    1.69   13.76   -1.13   13.82    0.15    0.43 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.22   -1.29    0.52  1121  -792   328    -3   -43    65    56   6.51 99.9
1981  37 14 46 50 50   5   1   0    122      1  0.01     72   14.71   -4.71    1.00   13.86   -1.84   13.77    0.18    0.97   541.7  -540.4    32.1   -18.9  10.10  147193.  5.93  -7.46   0.54   5.9   12.84  -34.80  -15.55   11.18   -1.28    0.27  1092  -783   308    -4   -44    67    56   6.34  4.8
1981  37 14 47 50 50   5   1   0    126      1  0.01     56   14.30   -2.54    2.26   13.88   -0.62   14.05    0.06    0.46   538.6  -537.7    31.0     4.7  11.29  189297.  6.55  -7.57   0.73   6.3   12.85  -34.79  -15.56   11.08   -1.35   -0.05  1049  -747   301    -4   -44    65    58   6.17  5.0
1981  37 14 48 50 50   4   1   0    131      3  0.01     54   14.34   -0.83    4.74   13.41    1.89   14.10    0.11    1.21   522.4  -520.0    50.1    -1.8  10.40  151642.  5.68  -7.37   0.59   5.9   12.85  -34.79  -15.56   11.23   -1.67    0.02  1004  -713   290    -4   -45    64    59   5.98  4.8
1981  37 14 49 50 99   3 999   0    150      4  0.01     41   14.04   -1.21    5.10   13.00    2.32   13.77    0.09    0.35 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.20   -1.57   -0.03   953  -665   287    -6   -46    69    60   5.85 99.9
1981  37 14 50 50 99   6 999  67    161      8  0.02     48   15.03   -7.00    1.29   13.20   -1.46   13.18    0.14    0.71 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.19   -1.39   -0.11  1023  -726   296    -7   -46    75    63   5.60 99.9
1981  37 14 51 50 50  10   1 100    109     17  0.04    112   14.63   -7.08    0.82   12.76   -1.84   12.65    0.24    0.70   566.1  -565.3    27.6    10.9   9.80  164007.  6.28  -7.16   0.56   6.1   12.88  -34.78  -15.57   11.08   -1.15   -0.15  1059  -753   305    -8   -47    81    63   5.48  5.0
1981  37 14 52 50 99   7 999  86     55     11  0.03    113   12.90   -4.09    2.78   11.88    0.25   12.20    0.14    0.57 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.90   -1.14    0.07  1070  -769   300   -10   -49    90    62   5.42 99.9
1981  37 14 53 50 50   1   1   0     91      0  0.00     24   13.12   -5.86    1.60   11.63   -0.86   11.71    0.00    0.00   549.3  -548.4    28.7   -10.5  11.74  247739.  7.08  -6.43   1.07   7.2   12.90  -34.76  -15.59   10.83   -1.16    0.21  1032  -749   282   -11   -50    97    64   5.15  5.2
1981  37 14 54 50 50   3   1  33    104      9  0.02     46   13.01   -5.64    2.19   11.47   -0.26   11.67    0.09    0.50   549.3  -548.4    28.7   -10.5  11.74  247739.  7.08  -6.41   1.09   7.2   12.90  -34.76  -15.59   10.82   -1.19    0.23   988  -716   271   -12   -52    94    71   4.71  5.2
1981  37 14 55 50 99   3 999 100    130      6  0.02     33   12.88   -5.61    2.63   11.26    0.21   11.56    0.05    0.56 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.80   -1.27    0.30   972  -720   251   -11   -51    94    75   4.39 99.9
1981  37 14 56 50 99   4 999  75    184     46  0.08      6   12.73   -5.55    2.49   11.15    0.09   11.42    0.22    0.69 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.79   -1.27    0.30  1008  -775   232   -12   -50    97    70   4.20 99.9
1981  37 14 57 50 50   3   1 100    174      7  0.02     69   13.03   -6.11    3.42   10.97    1.02   11.44    0.06    0.42   555.1  -553.1    42.6   -21.3  11.67  262196.  7.19  -6.35   1.12   7.3   12.92  -34.75  -15.59   10.77   -1.41    0.40  1048  -829   219   -12   -50    99    67   4.04  5.2
1981  37 14 58 50 99   3 999 100    202      7  0.01     32   12.94   -6.05    4.09   10.61    1.75   11.24    0.11    0.71 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.86   -1.54    0.41  1100  -851   249   -12   -50    99    66   3.94 99.9
1981  37 14 59 50 99   2 999 100    228      6  0.01     33   12.86   -4.45    5.69   10.59    3.31   11.56    0.09    0.64 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.96   -1.67    0.40  1134  -862   272   -12   -51    99    69   3.75 99.9
1981  37 15  0 50 50   6   2  33    248      8  0.02     39   12.62   -1.35    6.36   10.78    3.91   11.89    0.11    0.64   537.7  -534.0    59.9   -18.8  10.09  268773.  5.83  -6.39   1.05   6.8   12.94  -34.74  -15.61   11.10   -1.83    0.39  1059  -773   286   -12   -51    99    72   3.52  4.9
1981  37 15  1 50 50   8   2  63    209      7  0.01     99   12.81   -2.00    5.91   11.18    3.38   12.19    0.09    0.42   544.1  -540.3    61.6   -18.0   9.43  270360.  5.58  -6.63   0.95   6.5   12.94  -34.74  -15.61   11.19   -1.89    0.31   991  -701   290   -12   -52   101    73   3.26  4.8
1981  37 15  2 50 99   5 999 100    203      0  0.00     65   12.71   -1.16    6.18   11.02    3.67   12.09    0.08    0.33 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.10   -1.84    0.13   874  -597   277   -13   -52   104    74   3.04 99.9
1981  37 15  3 50 50   5   1 100    200      0  0.01     63   12.47   -1.28    5.54   11.09    3.02   12.02    0.20    0.27   536.5  -533.5    57.0     2.8  10.70  213182.  6.16  -6.45   0.98   7.0   12.97  -34.73  -15.62   11.00   -1.78   -0.02   881  -623   258   -13   -53   103    75   2.97  5.2
1981  37 15  4 50 50   6   1 100    194      3  0.01     65   12.22   -1.37    5.47   10.82    3.00   11.75    0.05    0.41   533.1  -530.7    50.2    -4.7  12.77  243001.  7.26  -6.26   1.32   7.8   12.98  -34.72  -15.62   10.74   -1.64    0.09   925  -669   256   -13   -53   104    74   2.78  5.3
1981  37 15  5 50 99   7 999 100    177      5  0.01     76   12.37   -4.95    6.13    9.46    3.93   10.57    0.15    0.82 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.71   -1.64    0.24   978  -720   258   -13   -53   103    74   2.59 99.9
1981  37 15  6 50 50   7   1 100    160      4  0.01     76   12.74   -4.72    6.53    9.81    4.23   11.00    0.08    0.83   565.2  -561.8    58.1   -22.7  10.55  180230.  6.74  -6.22   0.83   7.2   13.00  -34.71  -15.64   10.78   -1.67    0.38   970  -714   256   -13   -53   102    76   2.46  5.5
1981  37 15  7 50 50   6   2 100    149      1  0.00     71   12.99   -5.59    6.57    9.69    4.29   10.89    0.07    0.36   564.5  -561.1    59.3   -18.5  10.55  194949.  6.72  -6.15   0.84   7.1   13.01  -34.70  -15.64   10.82   -1.72    0.37   941  -676   265   -13   -52   102    77   2.32  5.4
1981  37 15  8 50 50   5   2 100    143      1  0.01     65   12.98   -4.80    5.98   10.40    3.55   11.46    0.02    1.07   547.7  -544.7    50.0   -25.4  10.97  225491.  6.58  -6.28   0.96   7.0   13.02  -34.70  -15.65   10.87   -1.64    0.45   913  -655   258   -13   -52   102    79   2.19  5.2
1981  37 15  9 50 99   6 999 100    136      2  0.01     67   13.10   -4.52    5.52   10.97    2.97   11.92    0.08    0.21 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.85   -1.60    0.51   908  -649   259   -13   -52   102    78   2.03 99.9
1981  37 15 10 50 50   5   1 100    128      2  0.01     67   12.71   -3.78    5.97   10.54    3.49   11.60    0.12    0.69   550.7  -547.6    52.7   -25.0  11.52  216162.  6.99  -6.39   1.02   7.4   13.04  -34.69  -15.65   10.79   -1.63    0.48   889  -635   254   -13   -53   100    76   1.92  5.4
1981  37 15 11 50 50   6   1 100    119      2  0.01     69   13.06   -3.06    6.94   10.57    4.42   11.85    0.39    1.12   545.3  -542.0    57.0   -19.0  10.77  208012.  6.40  -6.46   0.88   6.9   13.05  -34.68  -15.66   10.95   -1.79    0.33   845  -598   247   -12   -53    99    76   1.84  5.2
1981  37 15 12 50 50   6   1 100    110      2  0.01     69   13.59   -3.75    6.62   11.26    3.95   12.45    0.04    0.39   550.8  -546.5    69.0     0.0   9.27  187889.  5.62  -6.86   0.66   6.2   13.05  -34.68  -15.66   11.16   -1.99    0.03   823  -576   247   -12   -53    95    77   1.62  4.9
1981  37 15 13 50 99   5 999 100    103      2  0.01     66   13.25   -3.58    6.62   10.90    4.02   12.10    0.08    0.23 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.11   -1.95    0.09   778  -545   233   -12   -52    94    78   1.51 99.9
1981  37 15 14 50 50   6   1 100     96      1  0.01     67   12.57   -3.52    6.22   10.34    3.75   11.47    0.53    0.54   546.0  -542.3    62.7    -8.6  10.10  198558.  6.02  -6.26   0.87   6.9   13.08  -34.67  -15.67   11.03   -1.88    0.16   755  -517   238   -12   -52    93    77   1.35  5.2
1981  37 15 15 50 50   5   1 100     89      2  0.01     66   12.71   -4.25    5.17   10.78    2.62   11.67    0.32    0.59   554.0  -551.1    56.0    -8.7   9.95  206545.  6.11  -6.47   0.86   6.9   13.09  -34.66  -15.68   11.06   -1.76    0.13   730  -500   230   -12   -53    91    75   1.22  5.2
1981  37 15 16 50 50   5   1 100     82      1  0.01     67   13.59   -4.25    5.74   11.53    2.99   12.53    0.09    0.69   554.5  -551.0    59.9    17.4   8.28  185088.  5.09  -6.95   0.58   5.9   13.09  -34.66  -15.68   11.34   -1.81   -0.25   722  -483   239   -11   -53    86    74   1.10  4.8
1981  37 15 17 50 50   5   1  20     78      0  0.00     63   13.12   -4.91    4.30   11.39    1.61   12.07    0.12    0.16   559.3  -556.9    51.7     1.0   9.35  172711.  5.85  -6.75   0.68   6.5   13.10  -34.65  -15.69   11.19   -1.63   -0.07   727  -472   255   -10   -52    81    75   1.06  5.2
1981  37 15 18 50 50   5   1   0     77      0  0.00     60   13.17   -4.82    4.47   11.39    1.77   12.11    0.13    0.70   559.1  -557.1    46.8     8.8   8.51  161368.  5.32  -6.77   0.59   6.2   13.11  -34.65  -15.69   11.34   -1.57   -0.15   728  -466   262    -9   -52    74    75   0.96  5.0
1981  37 15 19 50 50   6   1   0     73      1  0.01     63   12.68   -4.38    5.81   10.37    3.30   11.42    0.14    0.51   557.3  -555.3    47.6     1.9   8.59  184391.  5.34  -6.36   0.70   6.4   13.12  -34.64  -15.69   11.31   -1.61   -0.05   700  -461   239    -9   -52    71    75   0.84  5.1
1981  37 15 20 50 50   6   1  50     59      7  0.02     74   12.43   -4.41    6.27    9.78    3.87   10.95    0.28    0.45   559.0  -555.5    62.3     2.0   8.89  231330.  5.56  -6.12   0.86   6.7   13.14  -34.64  -15.70   11.24   -1.78   -0.06   686  -453   233    -9   -52    69    74   0.77  5.1
1981  37 15 21 50 50   7   2  86     31      8  0.02     88   12.81   -5.13    5.15   10.54    2.60   11.44    0.12    0.41   561.6  -559.8    43.4    13.7   7.83  180794.  4.94  -6.42   0.61   6.1   13.15  -34.63  -15.71   11.43   -1.60   -0.26   688  -454   234    -8   -52    65    74   0.85  5.0
1981  37 15 22 50 50   7   1 100      0      7  0.03     90   12.66   -4.52    5.37   10.52    2.81   11.47    0.14    0.47   557.4  -554.5    55.3    12.6   8.43  203624.  5.24  -6.39   0.73   6.4   13.15  -34.63  -15.71   11.29   -1.62   -0.23   682  -455   227    -8   -52    61    75   0.92  5.0
1981  37 15 23 50 50   5   1  60    -17      2  0.01     76   12.38   -3.87    6.08   10.02    3.60   11.15    0.09    0.63   558.3  -556.8    39.9     9.7   9.19  183695.  5.73  -6.23   0.78   6.8   13.17  -34.62  -15.72   11.20   -1.43   -0.20   674  -457   217    -8   -52    60    75   0.87  5.3
1981  37 15 24 50 99   4 999 100     -7      3  0.01     49   12.29   -4.16    5.44   10.21    2.93   11.19    0.03    0.12 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.20   -1.42   -0.25   644  -441   203    -8   -52    60    74   0.80 99.9
1981  37 15 25 50 99   4 999  50      4      3  0.01     49   12.31   -4.19    5.46   10.20    2.94   11.19    0.01    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.22   -1.44   -0.32   635  -421   214    -7   -52    57    73   0.77 99.9
1981  37 15 26 50 99   3 999   0     24      5  0.02     39   12.24   -4.13    5.41   10.17    2.89   11.15    0.03    0.06 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.24   -1.46   -0.37   603  -394   209    -7   -52    52    75   0.71 99.9
1981  37 15 27 50 99   4 999   0     37      2  0.01     47   12.30   -4.10    5.31   10.31    2.75   11.27    0.01    0.10 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   11.26   -1.49   -0.43   568  -376   192    -6   -52    47    73   0.62 99.9
1981  37 15 28 50 50   4   1   0     48      3  0.01     48   12.31   -4.17    4.99   10.45    2.40   11.33    0.09    0.13   559.0  -556.7    44.8    24.4   8.66  209484.  5.41  -6.33   0.80   6.7   13.20  -34.60  -15.74   11.31   -1.53   -0.44   540  -364   176    -6   -52    44    72   0.62  5.1
1981  37 15 29 50 50   4   1   0     56      3  0.01     51   13.12   -4.84    5.64   10.80    2.94   11.82    0.18    0.30   561.3  -558.4    56.7    -1.0   7.51  152923.  4.73  -6.63   0.51   5.9   13.21  -34.60  -15.74   11.52   -1.72   -0.09   510  -349   161    -5   -52    43    72   0.58  4.9
1981  37 15 30 50 50   3   1   0     76      6  0.01     40   13.10   -4.79    5.38   10.93    2.65   11.89    0.07    0.08   561.3  -558.4    56.7    -1.0   7.51  152923.  4.73  -6.67   0.51   5.9   13.21  -34.60  -15.74   11.52   -1.52   -0.15   500  -335   165    -5   -52    40    73   0.56  4.9
1981  37 15 31 50 50   4   1   0     95      3  0.01     41   12.88   -4.87    5.07   10.80    2.37   11.69    0.05    0.14   562.0  -560.9    31.4    15.7   8.13  163346.  5.14  -6.57   0.59   6.2   13.22  -34.59  -15.75   11.45   -1.33   -0.29   502  -323   179    -5   -52    38    74   0.59  5.1
1981  37 15 32 50 50   5   1   0     93      3  0.01     61   12.31   -4.58    4.82   10.35    2.22   11.20    0.17    0.27   558.2  -555.9    49.6    11.7   8.36  219912.  5.21  -6.25   0.80   6.6   13.23  -34.58  -15.75   11.35   -1.58   -0.25   493  -313   180    -5   -51    36    74   0.58  5.0
1981  37 15 33 50 50   4   1   0     98      3  0.01     54   12.08   -4.26    5.02   10.12    2.46   11.03    0.10    0.21   558.0  -555.7    48.6    13.6   8.74  210960.  5.44  -6.15   0.85   6.8   13.24  -34.58  -15.75   11.28   -1.59   -0.29   457  -296   161    -4   -52    32    73   0.58  5.2
1981  37 15 34 50 50   5   1   0    104      1  0.00     54   12.05   -4.13    5.24   10.02    2.69   10.98    0.04    0.21   553.0  -550.7    47.2    17.4   8.66  237524.  5.30  -6.07   0.91   6.8   13.25  -34.58  -15.76   11.32   -1.57   -0.34   432  -271   161    -4   -51    32    74   0.55  5.1
1981  37 15 35 50 50   5   1   0    110      2  0.01     54   12.17   -3.66    5.02   10.43    2.37   11.33    0.06    0.61   551.3  -549.8    38.4    11.5   8.51  253318.  5.17  -6.25   0.91   6.6   13.25  -34.57  -15.76   11.40   -1.47   -0.26   416  -264   152    -4   -51    28    76   0.53  4.9
1981  37 15 36 50 50   5   1   0    104      1  0.00     65   12.23   -3.36    6.51    9.77    3.97   11.05    0.10    0.40   547.7  -545.1    52.5     9.6   8.59  262196.  5.15  -6.05   0.93   6.6   13.26  -34.57  -15.77   11.38   -1.71   -0.21   393  -251   142    -4   -51    25    75   0.47  4.9
1981  37 15 37 50 50   4   1   0    103      2  0.01     60   12.20   -3.04    7.17    9.36    4.70   10.81    0.04    0.41   547.6  -542.7    72.4    10.5   8.81  251719.  5.28  -5.92   0.94   6.7   13.27  -34.56  -15.77   11.28   -2.03   -0.23   377  -231   146    -4   -50    23    75   0.45  5.0
1981  37 15 38 50 50   4   1   0    117      3  0.00     45   12.18   -3.19    7.29    9.20    4.84   10.69    0.04    0.18   552.2  -549.1    52.9    25.0   8.28  208012.  5.05  -5.90   0.78   6.5   13.28  -34.56  -15.77   11.35   -1.84   -0.43   340  -202   138    -3   -50    23    75   0.46  5.0
1981  37 15 39 50 50   5   2   0    111      3  0.00     66   12.18   -3.18    6.30    9.89    3.71   11.12    0.12    0.42   551.5  -548.0    61.1     9.4   7.84  248286.  4.77  -6.13   0.83   6.3   13.29  -34.55  -15.78   11.49   -1.85   -0.27   332  -186   146    -4   -49    22    75   0.44  4.8
1981  37 15 40 50 50   5   1   0    108      0  0.00     62   12.30   -3.02    6.00   10.28    3.31   11.43    0.03    0.45   546.6  -544.7    44.8    -6.7   7.66  235192.  4.58  -6.25   0.77   6.1   13.30  -34.55  -15.78   11.64   -1.69    0.04   320  -181   139    -4   -50    22    75   0.43  4.8
1981  37 15 41 50 50   4   2   0    112      1  0.01     56   12.38   -3.08    6.03   10.35    3.31   11.51    0.13    0.27   543.7  -541.6    46.4    11.3   7.12  221506.  4.21  -6.26   0.68   5.9   13.30  -34.54  -15.78   11.79   -1.65   -0.13   310  -171   139    -4   -50    22    76   0.41  4.7
1981  37 15 42 50 50   5   1   0    114      2  0.01     57   12.43   -2.98    6.86    9.92    4.22   11.30    0.09    0.21   543.7  -541.6    46.4    11.4   7.12  221420.  4.21  -6.14   0.67   5.8   13.30  -34.54  -15.78   11.73   -1.66   -0.07   299  -159   140    -4   -50    22    77   0.38  4.6
1981  37 15 43 50 50   4   1   0    120      7  0.04     54   11.59   -2.33    6.30    9.40    3.79   10.66    0.38    0.74   538.7  -536.4    46.9   -16.0   8.59  299035.  4.99  -5.74   1.14   6.8   13.32  -34.53  -15.79   11.52   -1.64    0.23   276  -138   138    -4   -49    23    79   0.30  4.8
1981  37 15 44 50 50   3   1   0    124      4  0.01     56   11.36   -2.43    6.32    9.11    3.87   10.39    0.07    0.09   538.7  -536.4    46.9   -16.0   8.59  299035.  4.99  -5.60   1.18   6.9   13.32  -34.53  -15.79   11.20   -1.40    0.59   236  -112   124    -4   -49    20    74   0.22  4.9
1981  37 15 45 50 99   4 999   0    145      3  0.06     38    8.34    0.99    6.02    3.90    4.87    5.27    1.97    4.25 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.69   -0.96    1.02   217   -98   119    -4   -48    22    76   0.30 99.9
1981  37 15 46 50 50   3   1   0    164      6  0.03     41    6.65    2.80    5.98    0.58    5.65    2.05    0.11    0.39   532.8  -525.8   -11.0   -85.2  15.74  320018.  8.94  -1.09   6.64  15.9   13.34  -34.53  -15.80   10.26   -0.52    1.47   205   -74   131    -3   -47    19    80   0.23  6.1
1981  37 15 47 50 50   3   1   0    191      7  0.02     32    6.53    3.38    5.54   -0.30    5.44    1.09    0.07    0.21   532.8  -525.8   -11.0   -85.2  15.74  320018.  8.94  -0.58   6.89  16.2   13.34  -34.53  -15.80   10.08   -0.35    1.62   198   -60   138     1   -48    14    66  -0.08  6.1
1981  37 15 48 50 99   2 999   0    229     11  0.02     22    6.56    3.13    5.75   -0.03    5.57    1.41    0.12    0.33 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.10   -0.32    1.61   181   -40   141     2   -46    21    58  -0.02 99.9
1981  37 15 49 50 99   1 999   0    271      0  0.00     17    6.45    2.76    5.81    0.17    5.58    1.62    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.11   -0.31    1.60   220   -60   160     3   -44    24    59   0.18 99.9
1981  37 15 50 50 99   1 999   0    316      0  0.00     15    6.48    3.37    5.52   -0.22    5.40    1.18    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   10.08   -0.29    1.59   286  -111   175     3   -44    24    57   0.16 99.9
1981  37 15 51 50 50   7   2  86    340     18  0.06     35    6.12    3.85    4.72   -0.32    4.65    0.88    0.19    0.36   535.2  -528.6   -16.7   -81.9  15.96  334394.  9.14  -0.47   8.20  17.5   13.35  -34.52  -15.80   10.06   -0.22    1.55   315  -149   166     2   -43    19    60   0.33  6.1
1981  37 15 52 50 50  15   4  93    276     41  0.17    124    7.94    1.84   -2.99   -4.57   -1.73   -5.18    1.28    5.43   528.8  -525.5    14.3   -54.0  15.24  235604.  8.52   2.74   3.66  13.0   13.37  -34.51  -15.81    9.65   -0.61    1.19   363  -201   162     0   -43    16    64   0.68  6.4
1981  37 15 53 50 50   3   2  33    233      7  0.02    102    8.62   -4.17   -7.13   -2.15   -6.35   -3.89    0.08    0.90   523.7  -519.0    10.7   -69.4  14.92  263176.  8.18   2.04   3.27  11.7   13.38  -34.50  -15.81    9.99   -0.72    1.29   363  -202   161    -1   -44    17    66   0.71  6.0
1981  37 15 54 50 50   8   3  13    226     37  0.12     67    9.58   -3.77   -7.03   -4.05   -5.77   -5.71    1.09    3.03   531.4  -528.7    18.4   -47.2  12.39  181942.  7.00   3.03   1.74   9.8   13.40  -34.49  -15.83    9.94   -0.77    0.91   344  -182   162    -1   -44    18    67   0.92  6.2
1981  37 15 55 50 50   6   1   0    212      4  0.02     74   11.95   -0.77   -8.44   -8.39   -6.01  -10.27    0.12    0.45   534.0  -532.7    24.2   -28.9  10.85  137245.  6.19   5.48   0.84   7.4   13.40  -34.49  -15.82    9.72   -1.00    0.76   345  -156   189    -1   -43    18    69   1.23  5.6
1981  37 15 56 50 99   3 999   0    217      4  0.01     55   12.06   -2.71   -8.09   -8.46   -5.65  -10.25    0.38    0.82 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    9.85   -0.71    0.74   319  -124   195    -1   -43    18    69   1.30 99.9
