<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  36  3  9 50 99   5 999   0    705     30  0.02     81    6.05    3.43    3.14   -3.80    4.38   -2.27    0.03    0.62 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.73   -0.49    0.28    82   -48    33     2    -9     7    12   0.51 99.9
1981  36  3 10 50 99   3 999   0    737     24  0.02     28    6.06    2.39    2.66   -4.83    4.33   -3.41    0.07    0.56 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.57   -0.49    0.28    77   -43    33     2   -10     7    13   0.50 99.9
1981  36  3 11 50 99   2 999   0    745     11  0.00     51    6.07    1.44    2.46   -5.36    4.35   -3.98    0.01    0.04 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.50   -0.48    0.30    79   -41    37     1    -9     8    13   0.48 99.9
1981  36  3 12 50 99   2 999   0    799     19  0.01      6    6.07    1.28    2.37   -5.44    4.30   -4.09    0.02    0.12 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.49   -0.48    0.31    77   -38    38     2    -9     8    13   0.58 99.9
1981  36  3 13 50 99   2 999   0    839      6  0.01     19    6.15    0.89    2.22   -5.66    4.24   -4.36    0.02    0.11 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.46   -0.48    0.31    74   -34    39     2   -10     8    13   0.58 99.9
1981  36  3 14 50 99   2 999   0    874     11  0.00     25    6.21    0.73    2.08   -5.80    4.16   -4.54    0.00    0.01 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.45   -0.48    0.32    73   -31    41     1   -10     8    13   0.59 99.9
1981  36  3 15 50 99   2 999   0    920      2  0.00     14    6.19    0.64    1.86   -5.86    3.98   -4.69    0.00    0.01 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.44   -0.48    0.33    72   -28    43     2   -10     8    13   0.61 99.9
1981  36  3 16 50 99   2 999   0    948      9  0.01     31    6.21    0.51    1.68   -5.94    3.84   -4.83    0.01    0.15 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.43   -0.48    0.34    74   -26    47     2    -9     9    14   0.63 99.9
1981  36  3 17 50 99   2 999   0    973      3  0.01     34    6.21   -0.14    1.62   -5.99    3.80   -4.91    0.00    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.43   -0.48    0.34    74   -26    47     2    -9     9    14   0.64 99.9
1981  36  3 18 50 99   1 999   0   1009      0  0.00     24    6.26    0.02    1.74   -6.00    3.91   -4.87    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99   13.43   -0.48    0.35    73   -25    48     2    -9     9    14   0.69 99.9
