<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  39 11 19  39 11 19 50 50   4   1   0   -260      1  0.00     59   10.78   -6.32    8.24    2.60    7.87    3.56    0.03    0.78   434.6  -432.3   -29.5   -33.3   4.39   89706.  1.66  -1.55   0.34   4.2   29.60  -14.36  -21.02   14.23   -0.05    1.11    48
1981  39 11 20  39 11 20 50 50   6   1   0   -270      2  0.00     70   10.80   -4.82    8.90    2.79    8.50    3.83    0.06    2.19   440.7  -438.6   -26.1   -33.8   3.58   53721.  1.39  -1.69   0.23   3.9   29.60  -14.35  -21.02   14.63   -0.11    1.14    50
1981  39 11 23  39 11 23 50 50   5   1   0   -294     13  0.04     79   10.64   -7.01    7.13    3.55    6.65    4.38    0.01    0.27   415.7  -413.0   -19.5   -42.7   4.21   91646.  1.46  -1.82   0.34   4.0   29.61  -14.32  -21.02   14.50   -0.35    1.47    51
1981  39 11 33  39 11 33 50 50   5   1 100   -299      0  0.01     62   10.59   -6.84    7.16    3.59    6.67    4.43    0.07    0.97   430.6  -428.8   -29.2   -25.5   5.86   97580.  2.17  -1.91   0.49   4.9   29.65  -14.21  -21.02   13.44   -0.03    0.82    44
1981  39 11 34  39 11 34 50 50   5   1 100   -304      1  0.00     64   10.61   -6.08    8.10    2.90    7.69    3.86    0.05    1.05   430.6  -428.8   -29.2   -25.5   5.86   97580.  2.17  -1.66   0.49   4.9   29.65  -14.21  -21.02   13.45   -0.09    0.80    43
1981  39 11 52  39 11 52 50 50   4   1 100   -363      0  0.02     60   10.10   -8.26    3.21    4.72    2.59    5.09    0.16    0.58   399.9  -397.8    36.2   -19.5   4.56   40505.  1.46  -2.04   0.31   4.2   29.71  -14.02  -21.01   14.25   -2.32    0.75    31
1981  39 11 55  39 11 55 50 50   4   1 100   -354      4  0.02     55    9.89   -8.68    3.30    3.31    2.86    3.70    0.06    0.47   398.9  -396.8    22.9   -34.1   4.39   51144.  1.40  -1.48   0.34   4.2   29.72  -13.99  -21.01   14.32   -1.95    1.41    32
1981  39 11 56  39 11 56 50 50   4   1 100   -335      4  0.02     40    9.89   -8.53    2.53    4.11    1.99    4.40    0.18    0.74   403.1  -394.2    31.0   -78.3   4.30   58463.  1.40  -1.77   0.34   4.2   29.73  -13.98  -21.01   14.18   -2.13    2.52    32
1981  39 11 57  39 11 57 50 50   5   1 100   -332      0  0.03     57   10.47   -7.54    4.41    5.69    3.65    6.20    0.17    0.72   403.1  -394.2    31.0   -78.3   4.30   58463.  1.40  -2.50   0.30   4.0   29.73  -13.98  -21.01   14.30   -2.20    2.80    35
1981  39 12  4  39 12  4 50 50   9   2 100   -459     18  0.07    102   10.16   -8.67    2.13    4.60    1.52    4.84    0.64    1.24   404.8  -398.6    31.1   -63.0   4.09   40331.  1.34  -1.96   0.28   4.0   29.77  -13.87  -21.00   14.26   -2.25    1.96    57
1981  39 12  5  39 12  5 50 50   9   1 100   -520     13  0.06    120   10.00   -8.76    2.55    3.98    2.02    4.28    0.30    0.53   400.4  -397.1    37.5   -34.9   4.91   48196.  1.57  -1.71   0.36   4.4   29.77  -13.86  -21.00   13.92   -2.52    1.25    53
1981  39 12  6  39 12  6 50 50   5   1 100   -547      4  0.03     86   10.04   -9.08    2.13    3.36    1.68    3.61    0.18    1.27   391.3  -386.9    46.8   -35.5   5.08  105755.  1.56  -1.41   0.49   4.4   29.78  -13.84  -21.00   13.99   -2.48    1.30    49
1981  39 12  7  39 12  7 50 50   5   1  60   -530      5  0.03     43    9.89   -8.70    3.34    3.08    2.91    3.49    0.16    0.57   398.7  -396.7    12.5   -38.2   4.47   86357.  1.42  -1.39   0.41   4.3   29.78  -13.83  -21.00   14.28   -1.68    1.34    49
1981  39 12 10  39 12 10 50 50   6   1   0   -540      4  0.01     79    9.74   -8.63    3.82    2.07    3.52    2.55    0.22    0.52   395.9  -393.6    35.8   -23.5   4.65   85411.  1.46  -1.01   0.44   4.4   29.79  -13.80  -21.00   14.12   -2.30    0.87    48
1981  39 12 11  39 12 11 50 50   6   1   0   -544      2  0.02     63    9.97   -8.89    3.34    2.88    2.94    3.29    0.14    0.57   398.3  -396.1    33.3   -25.0   4.65   60060.  1.48  -1.31   0.37   4.3   29.80  -13.79  -21.00   14.17   -2.23    0.94    47
1981  39 12 12  39 12 12 50 50   7   1  57   -567     11  0.03     83    9.91   -8.71    3.88    2.46    3.52    2.95    0.15    0.31   394.0  -391.8    26.7   -31.6   4.47   77560.  1.39  -1.16   0.39   4.2   29.80  -13.78  -21.00   14.27   -2.11    1.00    47
1981  39 12 13  39 12 13 50 50   4   1 100   -584      2  0.00     76    9.85   -8.28    4.54    2.37    4.19    2.95    0.19    0.82   395.3  -393.7    33.1   -13.8   4.82   88743.  1.51  -1.17   0.45   4.4   29.81  -13.76  -21.00   14.13   -2.21    0.62    45
1981  39 12 14  39 12 14 50 50   3   1 100   -571      6  0.00     46    9.49   -7.61    4.90    2.62    4.51    3.24    0.13    0.73   395.3  -393.7    33.1   -13.8   4.82   88743.  1.51  -1.28   0.48   4.6   29.81  -13.76  -21.00   14.07   -2.12    0.68    44
1981  39 12 16  39 12 16 50 50   4   1 100   -530      2  0.00     41    9.43   -7.59    5.16    2.00    4.85    2.66    0.11    0.29   398.4  -396.4    20.1   -34.0   4.74   72228.  1.50  -1.06   0.44   4.6   29.81  -13.74  -21.00   14.09   -1.74    1.20    47
1981  39 12 18  39 12 18 50 50   6   1 100   -517      3  0.00     55    9.87   -7.82    5.10    2.81    4.68    3.46    0.12    0.85   404.3  -402.7    10.5   -33.8   4.47   62085.  1.46  -1.40   0.36   4.3   29.82  -13.72  -21.00   14.23   -1.46    1.09    45
1981  39 12 19  39 12 19 50 50   6   1 100   -534      2  0.01     77    9.63   -7.56    5.37    2.25    5.02    2.94    0.06    0.71   400.5  -400.1    13.3   -11.9   5.00   60866.  1.60  -1.18   0.42   4.6   29.82  -13.71  -21.00   14.07   -1.63    0.53    44
1981  39 12 20  39 12 20 50 50   4   1 100   -526      3  0.00     51    9.60   -8.28    4.20    2.19    3.87    2.73    0.13    0.63   397.5  -395.9    29.1   -20.8   4.47   84469.  1.41  -1.09   0.43   4.4   29.83  -13.70  -21.00   14.23   -2.04    0.76    43
1981  39 12 23  39 12 23 50 50   4   1 100   -481      0  0.00     47   10.01   -7.56    5.70    3.21    5.22    3.95    0.09    0.12   407.5  -406.0     5.7   -34.1   4.56   28961.  1.51  -1.61   0.30   4.3   29.83  -13.68  -20.99   14.25   -1.26    1.19    38
1981  39 12 27  39 12 27 50 50   3   1 100   -460      6  0.01     48    9.29   -7.54    5.18    1.47    4.93    2.16    0.04    0.18   405.6  -404.3    10.6   -31.1   4.03   51893.  1.33  -0.88   0.35   4.4   29.85  -13.64  -20.99   14.21   -1.42    1.20    41
1981  39 12 28  39 12 28 50 50   3   1 100   -435      5  0.00     34    9.52   -7.05    5.53    2.40    5.15    3.13    0.22    1.61   407.6  -404.5     9.9   -49.0   6.11   34982.  2.03  -1.28   0.46   5.3   29.85  -13.63  -20.99   13.53   -1.33    1.48    43
1981  39 12 29  39 12 29 50 50   6   1 100   -431      2  0.01     56    9.98   -7.20    5.57    4.06    4.96    4.78    0.09    0.30   407.6  -404.5     9.9   -49.0   6.11   34982.  2.03  -1.95   0.42   5.0   29.85  -13.63  -20.99   13.55   -1.15    1.54    44
1981  39 12 30  39 12 30 50 50   4   1 100   -435      2  0.00     63    9.84   -7.38    5.77    2.95    5.31    3.71    0.08    0.40   400.7  -398.6    -2.8   -41.2   5.43   56493.  1.74  -1.49   0.43   4.7   29.85  -13.62  -20.99   13.80   -0.89    1.44    44
1981  39 12 31  39 12 31 50 50   5   1 100   -427      1  0.00     51    9.90   -6.85    6.04    3.62    5.49    4.42    0.08    0.61   408.5  -406.2   -10.6   -42.0   5.00   25599.  1.67  -1.81   0.33   4.6   29.86  -13.61  -20.99   13.88   -0.75    1.43    38
1981  39 12 32  39 12 32 50 50   4   1 100   -421      1  0.00     54    9.91   -7.07    5.42    4.29    4.78    5.00    0.10    0.45   402.2  -400.1     7.0   -40.6   6.03   54171.  1.95  -2.01   0.47   5.0   29.86  -13.59  -20.99   13.58   -1.17    1.38    37
1981  39 12 33  39 12 33 50 50   5   1 100   -419      0  0.00     58    9.88   -7.51    4.24    4.68    3.55    5.22    0.05    0.63   404.6  -402.6    11.9   -38.8   5.26   40841.  1.72  -2.11   0.38   4.7   29.87  -13.58  -20.99   13.72   -1.38    1.34    35
1981  39 12 35  39 12 35 50 50   2   1 100   -373      7  0.02     27    9.68   -7.16    5.80    2.91    5.34    3.69    0.03    0.19   399.5  -397.5     9.7   -39.0   6.37   52647.  2.03  -1.47   0.51   5.2   29.87  -13.57  -20.99   13.32   -1.31    1.38    39
1981  39 12 37  39 12 37 50 50   3   1 100   -313      8  0.03     30    9.88   -5.85    5.56    5.44    4.75    6.16    0.03    0.97   402.8  -398.6     7.0   -57.5   6.20   52269.  2.01  -2.48   0.48   5.1   29.87  -13.56  -20.99   13.41   -1.16    1.76    44
1981  39 12 39  39 12 39 50 50   1   1 100   -257      0  0.00     30    9.77   -6.37    7.06    2.12    6.69    3.09    0.00    0.00   407.5  -406.7   -14.2   -22.0   5.94   32815.  1.97  -1.26   0.42   5.1   29.88  -13.55  -20.99   13.48   -0.54    0.72    36
1981  39 12 42  39 12 42 50 50   2   1 100   -142      9  0.03     24    9.71   -5.20    7.69    2.78    7.22    3.84    0.00    0.12   415.0  -414.5    -2.9   -19.5   6.87  117483.  2.37  -1.59   0.75   5.6   29.88  -13.54  -20.99   13.15   -0.65    0.78    35
1981  39 12 43  39 12 43 50 50   2   1  50   -109      8  0.02     27    9.74   -5.73    7.50    2.16    7.12    3.20    0.06    0.43   408.2  -406.4   -19.9   -32.7   6.79  102141.  2.26  -1.31   0.69   5.5   29.88  -13.54  -20.99   13.19   -0.32    1.04    41
1981  39 12 46  39 12 46 50 50   4   1 100    -67      2  0.01     49    9.75   -5.21    8.01    1.87    7.66    3.00    0.02    0.22   404.6  -403.4   -22.6   -21.9   7.63  183100.  2.50  -1.21   1.04   5.7   29.89  -13.51  -20.99   13.06   -0.24    0.75    45
1981  39 12 47  39 12 47 50 50   4   1 100    -57      2  0.01     50    9.79   -5.40    8.11    0.37    7.97    1.53    0.05    0.86   404.6  -403.4   -22.6   -21.9   7.63  183100.  2.50  -0.62   1.03   5.7   29.89  -13.51  -20.99   13.08   -0.34    0.64    41
1981  39 12 49  39 12 49 50 50   4   1 100    -38      2  0.01     51   10.05   -6.79    7.33    0.74    7.15    1.79    0.08    0.35   405.3  -404.9    -9.2   -14.1   6.20   33428.  2.04  -0.73   0.41   5.0   29.90  -13.49  -20.99   13.46   -0.93    0.76    36
1981  39 12 50  39 12 50 50 50   4   1 100    -28      2  0.01     49   10.05   -7.01    5.01    4.14    4.36    4.82    0.26    2.94   406.1  -402.0    23.9   -52.3   5.43   46394.  1.79  -1.96   0.39   4.7   29.90  -13.48  -20.99   13.62   -1.72    1.65    36
1981  39 12 52  39 12 52 50 50   4   1 100     -7      3  0.01     49   10.27   -6.55    4.64    6.38    3.66    6.99    0.04    0.24   409.4  -404.8    28.3   -54.1   5.08   35930.  1.70  -2.86   0.33   4.5   29.91  -13.46  -20.99   13.80   -1.96    1.84    50
1981  39 12 53  39 12 53 50 50   4   1 100      3      2  0.01     50   10.14   -6.00    5.20    6.27    4.23    6.96    0.08    0.36   409.4  -404.8    28.3   -54.1   5.08   35930.  1.70  -2.85   0.34   4.6   29.91  -13.46  -20.99   13.67   -1.78    1.79    47
1981  39 12 56  39 12 56 50 50   8   1 100   -288    326  0.60    204    9.72   -4.46    7.57    3.83    6.92    4.91    0.16    1.36   423.6  -420.6    -2.2   -50.2   6.79  111548.  2.44  -2.08   0.72   5.7   29.92  -13.43  -20.98   13.19   -0.70    1.43    44
1981  39 12 57  39 12 57 50 50  11   1 100   -256    304  0.59     28    9.71   -5.29    6.62    4.01    5.95    4.95    0.08    2.42   418.8  -415.4    -7.3   -52.5   5.86   64970.  2.06  -2.07   0.50   5.2   29.92  -13.42  -20.98   13.30   -0.63    1.48    45
1981  39 12 58  39 12 58 50 50   8   2  88   -291    272  0.56     94    9.66   -5.76    6.93    3.03    6.40    4.03    0.04    1.56   406.9  -405.3   -12.7   -34.0   6.11   41243.  2.02  -1.64   0.46   5.2   29.95  -13.34  -20.98   13.34   -0.54    1.39    47
1981  39 13  0  39 13  0 50 50   7   1 100   -247    252  0.57    -32    9.62   -5.31    6.75    4.07    6.07    5.03    0.07    1.19   405.7  -403.4   -12.0   -41.7   5.43   36248.  1.79  -2.04   0.40   4.9   29.94  -13.35  -20.98   13.43   -0.49    1.39    40
1981  39 13  1  39 13  1 50 50   8   1  88   -219    250  0.56     32    9.63   -6.21    6.48    3.21    5.93    4.14    0.06    0.90   405.7  -403.4   -12.0   -41.7   5.43   36248.  1.79  -1.68   0.40   4.9   29.94  -13.35  -20.98   13.44   -0.46    1.43    37
1981  39 13  3  39 13  3 50 50  10   3  50   -124    279  0.63     15    9.67   -4.70    7.62    2.60    7.14    3.72    0.07    2.50   413.0  -410.9   -18.6   -37.9   5.78   37093.  1.97  -1.54   0.43   5.1   29.94  -13.38  -20.98   13.39   -0.38    1.40    35
1981  39 13  4  39 13  4 50 50  12   3  50    -92    337  0.73     28    9.64   -4.42    7.79    2.70    7.29    3.85    0.06    2.14   434.1  -432.0   -23.9   -33.4   6.60   54633.  2.49  -1.67   0.54   5.8   29.96  -13.29  -20.97   13.27   -0.31    1.17    34
1981  39 13  6  39 13  6 50 50   8   2   0   -490     29  0.01    548    9.85   -5.24    6.86    4.18    6.14    5.18    0.08    2.00   419.2  -416.0   -13.6   -44.8   5.68   48214.  2.00  -2.17   0.43   5.1   29.98  -13.24  -20.97   13.39   -0.46    1.29    31
1981  39 13  7  39 13  7 50 50   4   1   0   -515     11  0.02     84    9.71   -3.39    8.51    3.20    7.92    4.46    0.02    0.21   431.0  -429.9   -18.0   -24.8   6.79   74873.  2.52  -1.92   0.61   5.8   29.98  -13.22  -20.97   13.01   -0.33    0.70    38
1981  39 13  8  39 13  8 50 50   4   1   0   -507      1  0.00     52    9.71   -3.87    8.48    2.62    7.98    3.89    0.02    0.37   421.5  -420.5   -17.6   -22.8   6.62  106797.  2.35  -1.64   0.69   5.6   29.99  -13.21  -20.97   13.09   -0.38    0.73    40
1981  39 13  9  39 13  9 50 50   2   1  50   -476      1  0.01     29    9.68   -3.87    7.76    4.05    7.05    5.19    0.01    0.80   421.5  -420.5   -17.6   -22.8   6.62  106797.  2.35  -2.19   0.69   5.6   29.99  -13.21  -20.97   13.18   -0.42    0.96    42
1981  39 13 10  39 13 10 50 50   9   2  78   -497     25  0.02     80    9.79   -2.15    8.66    3.61    8.00    4.90    0.05    1.62   443.6  -442.0   -20.6   -27.1   6.17   54836.  2.43  -2.17   0.49   5.6   29.99  -13.19  -20.97   13.05   -0.32    0.88    41
1981  39 13 12  39 13 12 50 50   5   1  40   -479      8  0.01     10    9.80   -0.46    9.40    2.63    8.88    4.06    0.06    0.53   455.5  -454.4   -16.7   -27.0   6.34   33822.  2.63  -1.85   0.45   5.9   30.00  -13.18  -20.97   12.75   -0.35    0.79    42
1981  39 13 15  39 13 15 50 50   7   2 100   -495     47  0.02     81    9.80   -1.35    8.84    3.08    8.25    4.43    0.04    2.22   446.1  -443.6   -18.8   -42.0   5.92   37149.  2.36  -1.98   0.42   5.5   30.01  -13.15  -20.97   13.18   -0.33    1.16    44
1981  39 13 16  39 13 16 50 50   7   2 100   -487     32  0.01     51    9.84   -0.87    8.97    3.49    8.31    4.86    0.06    1.71   442.9  -438.7   -21.4   -56.5   5.92   45662.  2.32  -2.15   0.44   5.5   30.01  -13.14  -20.97   13.24   -0.29    1.44    49
1981  39 13 17  39 13 17 50 50   3   1 100   -502     13  0.00     75    9.84   -4.46    8.40    2.28    7.94    3.58    0.03    0.57   415.6  -410.7    -9.3   -62.9   6.37  157256.  2.20  -1.49   0.78   5.3   30.02  -13.12  -20.97   13.37   -0.60    1.67    46
1981  39 13 18  39 13 18 50 50   7   2 100   -513      9  0.01     71    9.81   -3.62    8.63    2.47    8.13    3.80    0.05    1.05   436.9  -436.0   -18.2   -20.9   7.45   69479.  2.84  -1.66   0.64   6.1   30.02  -13.11  -20.97   12.75   -0.40    0.87    39
1981  39 13 20  39 13 20 50 50   7   2 100   -530     13  0.01     74    9.88   -4.19    8.66    2.16    8.21    3.51    0.04    0.37   417.1  -415.5   -15.3   -32.9   8.21   76895.  2.86  -1.46   0.72   6.0   30.03  -13.09  -20.97   12.75   -0.45    0.88    41
1981  39 13 21  39 13 21 50 50   4   2 100   -546      1  0.01     75    9.85   -3.84    8.83    1.98    8.40    3.36    0.01    0.28   416.5  -415.4   -15.9   -27.0   6.06   87603.  2.10  -1.40   0.56   5.2   30.03  -13.07  -20.96   13.27   -0.45    0.80    43
1981  39 13 22  39 13 22 50 50   6   1  33   -557     25  0.02     71    9.90   -4.24    8.52    2.28    8.04    3.62    0.05    1.38   416.8  -415.6   -16.0   -27.6   5.94   88264.  2.06  -1.51   0.55   5.1   30.03  -13.07  -20.96   13.38   -0.52    1.06    48
1981  39 13 25  39 13 25 50 50   1   1 100   -450      0  0.00     16    9.92   -2.93    9.01    2.94    8.42    4.36    0.00    0.00   424.9  -422.6    -8.9   -43.7   6.11   56103.  2.21  -1.85   0.48   5.3   30.04  -13.05  -20.96   13.22   -0.63    1.32    59
1981  39 13 28  39 13 28 50 50   2   1  50   -334     14  0.01     15    9.86   -2.47    9.40    1.53    9.02    3.05    0.02    0.19   426.7  -425.3   -17.1   -30.5   6.70   52269.  2.44  -1.30   0.52   5.6   30.04  -13.04  -20.96   13.03   -0.42    0.99    46
1981  39 13 29  39 13 29 50 50   1   1   0   -314      0  0.00     40    9.89   -2.57    9.45    1.28    9.11    2.81    0.00    0.00   426.7  -425.3   -17.1   -30.5   6.70   52269.  2.44  -1.20   0.51   5.6   30.04  -13.04  -20.96   13.02   -0.39    0.94    44
1981  39 13 31  39 13 31 50 50   3   1   0   -206      1  0.00     32    9.94   -2.32    9.50    1.40    9.14    2.95    0.04    0.55   433.4  -431.0   -20.3   -40.8   5.17   43926.  1.94  -1.28   0.38   5.0   30.05  -13.03  -20.96   13.43   -0.32    1.20    40
1981  39 13 34  39 13 34 50 50   4   1   0   -143      3  0.01     41    9.97   -1.00    9.76    1.42    9.39    3.03    0.05    0.51   441.4  -440.4   -25.4   -15.4   5.92   49513.  2.31  -1.34   0.44   5.4   30.05  -13.01  -20.96   13.24   -0.16    0.59    45
1981  39 13 35  39 13 35 50 50   4   1   0   -127      3  0.01     43   10.01   -1.45    9.67    1.58    9.27    3.17    0.06    0.52   441.4  -440.4   -25.4   -15.4   5.92   49513.  2.31  -1.40   0.44   5.4   30.05  -13.01  -20.96   13.16   -0.20    0.63    46
1981  39 13 36  39 13 36 50 50   3   1   0   -109      7  0.01     42   10.07   -1.97    9.62    2.00    9.15    3.59    0.02    0.18   443.9  -442.5   -19.3   -30.2   5.88   32766.  2.32  -1.59   0.39   5.3   30.06  -13.00  -20.96   13.09   -0.30    0.81    52
1981  39 13 37  39 13 37 50 50   3   1   0    -90      4  0.00     41   10.04   -1.19    9.63    2.51    9.07    4.10    0.02    0.23   437.6  -436.8   -20.6   -15.3   6.79   53027.  2.60  -1.79   0.51   5.7   30.06  -12.99  -20.96   12.96   -0.28    0.58    55
1981  39 13 38  39 13 38 50 50   3   1   0    -65      6  0.01     34   10.20   -1.10    9.73    2.68    9.14    4.28    0.07    0.48   437.6  -436.8   -20.6   -15.3   6.79   53027.  2.60  -1.87   0.49   5.6   30.06  -12.99  -20.96   12.57   -0.19    0.34    54
1981  39 13 40  39 13 40 50 50   5   1   0    -10     11  0.03     25   14.10   -0.95   13.86    1.78   13.36    4.11    2.90    3.06   505.3  -504.2   -33.5     0.0   9.42   57607.  4.81  -2.08   0.37   5.5   30.06  -12.97  -20.96   11.73    0.05    0.06    52
1981  39 13 41  39 13 41 50 50   7   1   0    -37      9  0.02     86   16.92   -1.05   15.93    4.69   14.90    7.34    0.08    1.81   505.3  -504.2   -33.5     0.0   9.42   57607.  4.81  -3.71   0.25   4.6   30.06  -12.97  -20.96   11.76    0.04    0.26    52
1981  39 13 45  39 13 45 50 50   6   1   0    -76     15  0.07     93   16.18   -6.19   12.39    8.07   10.81   10.09    0.24    1.52   480.5  -472.7   -17.3   -84.3   8.81  109802.  4.07  -4.85   0.33   4.4   30.08  -12.91  -20.95   11.98   -0.40    2.11    68
1981  39 13 46  39 13 46 50 50   5   1   0    -86      5  0.02     70   15.62   -8.54    5.75    9.11    4.08    9.97    0.73    5.95   462.5  -448.1    16.4  -113.5   7.82   57189.  3.35  -4.61   0.25   4.1   30.08  -12.90  -20.95   12.09   -1.13    2.84    86
1981  39 13 47  39 13 47 50 50   5   1   0    -97      2  0.01     70   15.29   -9.85    2.62   11.34    0.61   11.62    0.52    0.91   445.9  -434.0    39.5   -94.2   8.15  177263.  3.24  -5.18   0.44   4.2   30.08  -12.89  -20.95   12.38   -1.90    2.78   141
1981  39 13 48  39 13 48 50 50   5   1   0   -100      0  0.00     63   15.71  -10.44    3.60   11.09    1.61   11.55    0.13    0.91   443.8  -429.6    42.9  -102.8   8.28  167032.  3.26  -5.13   0.41   4.1   30.09  -12.88  -20.95   12.38   -1.95    2.88   143
1981  39 13 49  39 13 49 50 50   5   1   0    -99      0  0.01     59   15.61   -9.56    8.22    8.67    6.57    9.98    0.31    2.89   439.0  -430.2     1.5   -87.5   9.36  187131.  3.61  -4.38   0.50   4.3   30.09  -12.87  -20.95   12.35   -1.07    2.57   193
1981  39 13 51  39 13 51 50 50   4   1   0    -78     30  0.17     38   15.95  -10.80    6.91    8.91    5.23    9.99    0.06    2.17   436.1  -427.8     3.0   -84.7   7.96  121887.  3.03  -4.36   0.33   3.9   30.10  -12.85  -20.95   12.67   -0.96    2.52   117
1981  39 13 52  39 13 52 50 50   6   2   0    -83      7  0.06     65   16.13   -9.92    7.72    9.63    5.89   10.84    0.11    2.05   443.1  -434.6   -10.6   -84.8   8.46  137778.  3.32  -4.80   0.36   4.0   30.10  -12.84  -20.94   12.59   -0.57    2.46    92
1981  39 13 53  39 13 53 50 50   6   2   0    -89      9  0.02     65   16.61   -9.58   10.14    8.85    8.41   10.51    0.14    1.28   451.8  -442.5    -8.7   -90.7   7.55   90350.  3.08  -4.75   0.25   3.7   30.10  -12.82  -20.94   12.63   -0.50    2.55    82
1981  39 13 54  39 13 54 50 50   5   1   0    -90     13  0.06     60   16.97   -9.32   11.90    7.55   10.36    9.55    0.10    1.10   452.6  -443.6   -24.0   -86.4   8.07   84089.  3.31  -4.32   0.25   3.8   30.11  -12.81  -20.94   12.57   -0.26    2.46    36
1981  39 13 55  39 13 55 50 50   5   1   0    -99      5  0.03     69   16.56   -7.84   13.40    5.55   12.19    7.86    0.15    1.05   454.2  -446.6   -28.9   -77.3   9.20   77015.  3.80  -3.57   0.29   4.2   30.11  -12.80  -20.94   12.23   -0.07    2.18    40
1981  39 13 56  39 13 56 50 50   4   1   0    -76      2  0.03     36   16.36  -10.20   10.60    6.31    9.30    8.11    0.14    2.62   454.2  -446.6   -28.9   -77.3   9.20   77015.  3.80  -3.68   0.29   4.2   30.11  -12.80  -20.94   12.09   -0.17    2.14    87
1981  39 13 57  39 13 57 50 50   5   1   0    -74      0  0.00     58   16.51   -7.92   13.00    6.00   11.71    8.24    0.11    1.72   433.8  -426.5   -18.6   -76.8  10.75  116394.  4.05  -3.57   0.40   4.3   30.11  -12.79  -20.94   12.08   -0.25    2.17    96
1981  39 14  0  39 14  0 50 50   4   1   0    -74      0  0.00     60   16.67   -4.47   15.12    4.57   14.04    7.24    0.02    1.83   470.5  -461.7   -40.4   -80.9   9.57  156148.  4.24  -3.41   0.41   4.4   30.12  -12.76  -20.94   11.91    0.14    2.02    63
1981  39 14  1  39 14  1 50 50   5   1   0    -53     31  0.11     39   16.90   -9.61   12.57    5.72   11.32    7.92    0.10    0.73   430.3  -424.6   -23.7   -65.8  11.48  145010.  4.25  -3.41   0.46   4.3   30.13  -12.75  -20.94   12.00    0.00    1.88    48
1981  39 14  2  39 14  2 50 50   4   1   0    -63      1  0.01     69   17.07   -9.25   13.31    4.98   12.17    7.33    0.13    1.38   463.0  -458.4   -41.7   -50.0   9.35  164669.  4.01  -3.39   0.39   4.1   30.13  -12.73  -20.94   12.09    0.25    1.33    65
1981  39 14  3  39 14  3 50 50   4   1   0    -57      2  0.01     54   16.80   -6.97   15.06    1.87   14.46    4.60    0.29    1.63   468.8  -466.7   -41.6   -16.4  10.47  122313.  4.60  -2.16   0.39   4.5   30.14  -12.72  -20.94   11.84    0.30    0.63    72
1981  39 14  4  39 14  4 50 50   7   1   0    -59     11  0.02     61   16.59   -4.96   15.41   -0.67   15.27    2.18    0.15    2.30   479.0  -476.9   -45.1     2.5  11.52  145304.  5.29  -1.04   0.48   4.9   30.14  -12.71  -20.94   11.39    0.25    0.36    63
1981  39 14  5  39 14  5 50 50   7   2   0    -80      8  0.05     80   16.42   -9.63    9.88    8.11    8.21    9.80    0.11    3.46   449.5  -440.7   -15.4   -87.3  10.67  126815.  4.31  -4.41   0.42   4.5   30.14  -12.70  -20.94   11.91   -0.41    2.17    50
1981  39 14  6  39 14  6 50 50   6   1   0    -90      6  0.04     70   16.67  -10.91    8.12    9.45    6.23   10.79    0.06    1.19   441.6  -433.8    -4.5   -82.7   9.64   91284.  3.76  -4.76   0.32   4.1   30.15  -12.69  -20.94   12.23   -0.61    2.31    46
1981  39 14  8  39 14  8 50 50   4   1   0    -87      2  0.01     57   16.70  -10.07   11.15    7.16    9.62    9.12    0.05    0.94   446.3  -439.1   -24.5   -76.0   9.99  125699.  3.98  -4.07   0.38   4.2   30.15  -12.67  -20.94   12.11   -0.12    2.04    64
1981  39 14 10  39 14 10 50 50   6   1   0    -91     19  0.09     75   16.36   -7.59   13.39    5.26   12.16    7.69    0.07    1.27   461.5  -456.4   -42.3   -53.8  10.33  158749.  4.40  -3.55   0.46   4.5   30.16  -12.65  -20.94   11.87    0.23    1.51    80
1981  39 14 12  39 14 12 50 50   5   2   0    -62     15  0.04     52   16.44   -5.97   13.91    6.24   12.48    8.76    0.08    0.98   469.9  -465.4   -38.1   -52.6  11.39  101331.  5.03  -4.12   0.40   4.8   30.16  -12.64  -20.94   11.56    0.22    1.32    75
