<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 Day
 2 Hour
 3 Minute
 4 ID for IMF spacecraft
 5 ID for SW Plasma spacecraft
 6 # of points in IMF averages 
 7 # of points in Plasma averages
 8 Percent of Interpolation
 9 Timeshift
10 RMS, Timeshift
11 RMS Min_var
12 Time btwn observations,sec
13 Field magnitude average, nT
14 BX, nT (GSE, GSM)
15 BY, nT (GSE)
16 BZ, nT (GSE)
17 BY, nT (GSM)
18 BZ, nT (GSM)
19 RMS SD B scalar, nT
20 RMS SD field vector, nT
21 Speed, km/s
22 Vx Velocity,km/s
23 Vy Velocity, km/s
24 Vz Velocity, km/s
25 Proton Density, n/cc
26 Proton Temperature, K
27 Flow pressure, nPa
28 Electric field, mV/m 
29 Plasma beta
30 Alfven mach number
31 S/C, Xgse,Re
32 S/C, Ygse,Re
33 S/c, Zgse,Re
34 BSN location, Xgse,Re
35 BSN location, Ygse,Re
36 BSN location, Zgse,Re
37 AE-index, nT

YYYY DOY HR MN  1   2  3  4  5  6   7   8      9     10    11     12      13      14      15      16      17      18      19      20      21      22      23      24     25       26    27     28     29    30      31      32      33      34      35      36    37 
1981  36  5 21  36  5 21 50 50   1   1 100    241      0  0.00     60    5.11    1.16    1.20   -4.83    2.49   -4.31    0.00    0.00   381.0  -380.5   -19.9    -0.7   6.20   46752.  1.80   1.64   1.73   9.3   -4.86  -37.78   -5.03   12.65   -0.32   -0.02   463
1981  36  5 24  36  5 24 50 50  18   3 100     11     51  0.07    393    5.25   -0.29    0.83   -5.12    2.21   -4.69    0.03    0.54   389.7  -389.3   -16.9     2.5   6.29   45517.  1.91   1.83   1.65   9.3   -4.79  -37.79   -5.08   12.48   -0.42   -0.07   530
1981  36  5 25  36  5 25 50 50  40   7  70    -37    240  0.30    107    5.32    0.33    0.47   -5.21    1.88   -4.88    0.13    0.78   387.8  -387.0   -23.5     9.4   6.09   44114.  1.83   1.89   1.54   9.0   -4.77  -37.80   -5.09   12.53   -0.27   -0.26   525
1981  36  5 26  36  5 26 50 50  14   4  36     41    359  0.43    -17    5.38    0.02    0.72   -5.17    2.10   -4.78    0.14    1.30   390.4  -389.8   -18.2     8.8   5.96   35529.  1.82   1.87   1.40   8.9   -4.78  -37.79   -5.09   12.56   -0.37   -0.28   526
1981  36  5 27  36  5 27 50 50   9   3  22     11    430  0.46     90    5.41    0.04    1.45   -5.12    2.79   -4.53    0.14    0.88   386.5  -386.2   -15.9    -1.2   6.04   32730.  1.80   1.75   1.38   8.8   -4.72  -37.81   -5.13   12.54   -0.45   -0.10   526
1981  36  5 28  36  5 28 50 50   8   1  25   -217    337  0.35    287    5.46    0.05    2.23   -4.93    3.48   -4.14    0.09    0.65   388.1  -388.1    -3.4     0.7   6.54   41858.  1.97   1.61   1.55   9.1   -4.71  -37.81   -5.14   12.51   -0.69   -0.14   505
1981  36  5 29  36  5 29 50 50   5   1  20   -337    169  0.17    180    5.57    0.07    2.41   -5.00    3.67   -4.16    0.07    0.34   383.4  -382.6   -21.4    11.4   6.28   43577.  1.85   1.59   1.45   8.6   -4.86  -37.78   -5.03   12.60   -0.64   -0.25   491
1981  36  5 30  36  5 30 50 50   7   2   0   -210    335  0.33    -66    5.50    0.38    2.29   -4.92    3.53   -4.12    0.10    0.69   384.6  -384.1   -16.5    11.4   6.02   31945.  1.78   1.58   1.33   8.6   -4.76  -37.80   -5.10   12.64   -0.56   -0.31   505
1981  36  5 31  36  5 31 50 50   3   2   0   -351      3  0.01    200    5.59    0.42    2.91   -4.75    4.08   -3.79    0.05    0.07   385.2  -385.1    -5.5     3.5   6.45   37772.  1.91   1.46   1.43   8.8   -4.68  -37.81   -5.16   12.54   -0.77   -0.12   502
1981  36  5 34  36  5 34 50 50   4   1   0   -326     14  0.03     61    5.50    0.14    4.35   -3.00    4.99   -1.73    0.04    1.37   385.2  -385.0   -12.8     1.3   6.20   42886.  1.84   0.67   1.46   8.7   -4.66  -37.82   -5.17   12.88   -0.69   -0.12   562
1981  36  5 36  36  5 36 50 50   4   2   0   -312      1  0.00     47    5.59   -0.79    4.94   -2.48    5.42   -1.09    0.04    0.22   392.7  -392.5     5.5    12.3   6.37   44623.  1.96   0.43   1.47   8.9   -4.65  -37.82   -5.18   12.84   -1.14   -0.46   523
1981  36  5 37  36  5 37 50 50   4   1   0   -315      0  0.00     62    5.54   -0.58    4.72   -2.79    5.29   -1.45    0.06    0.38   387.0  -386.7     4.0    15.5   6.37   30123.  1.91   0.56   1.37   8.8   -4.64  -37.82   -5.18   12.81   -1.13   -0.60   590
1981  36  5 40  36  5 40 50 50   5   1   0   -318      1  0.00     66    5.71   -0.09    5.40    0.03    5.21    1.44    0.15    1.43   398.1  -395.3     8.3    46.4   5.77   35613.  1.83  -0.57   1.21   8.4   -4.62  -37.83   -5.20   13.14   -1.28   -1.40   531
1981  36  5 41  36  5 41 50 50   6   2   0   -328      7  0.01     70    5.73    0.02    5.58   -0.23    5.45    1.23    0.15    1.03   390.4  -389.0     9.3    30.6   6.78   48044.  2.07  -0.48   1.52   8.9   -4.61  -37.83   -5.21   13.06   -1.22   -1.42   536
1981  36  5 42  36  5 42 50 50   6   1   0   -347     19  0.04     78    5.85    0.39    5.15   -2.58    5.64   -1.16    0.10    0.72   385.5  -381.2     2.0    57.6   6.28   58067.  1.87   0.45   1.42   8.3   -4.60  -37.83   -5.21   12.85   -1.02   -1.70   532
1981  36  5 46  36  5 46 50 50   4   1   0   -315      3  0.01     47    5.87    0.52    3.38   -4.76    4.48   -3.74    0.03    0.22   383.9  -383.6    -6.7    13.4   6.11   38842.  1.80   1.44   1.23   8.1   -4.55  -37.84   -5.24   12.66   -0.78   -0.57   504
1981  36  5 47  36  5 47 50 50   3   1   0   -291      7  0.02     35    5.87    0.25    3.25   -4.88    4.38   -3.89    0.01    0.22   383.9  -383.6    -6.7    13.4   6.11   38842.  1.80   1.49   1.23   8.1   -4.55  -37.84   -5.24   12.59   -0.79   -0.44   503
1981  36  5 48  36  5 48 50 50   4   1   0   -272      3  0.01     41    5.93    0.34    2.94   -5.12    4.14   -4.21    0.03    0.25   383.9  -383.7    -3.3    13.4   6.70   50400.  1.97   1.62   1.42   8.4   -4.54  -37.84   -5.25   12.44   -0.83   -0.41   504
1981  36  5 49  36  5 49 50 50   5   1   0   -265      1  0.00     53    5.92    0.31    2.66   -5.23    3.90   -4.39    0.04    0.61   384.6  -384.3   -14.1     0.7   6.37   46038.  1.88   1.69   1.32   8.2   -4.53  -37.84   -5.26   12.50   -0.56   -0.11   496
1981  36  5 50  36  5 50 50 50   4   1   0   -267      3  0.00     61    5.88    0.56    3.18   -4.63    4.24   -3.68    0.01    1.55   387.0  -386.1   -25.6     3.4   6.45   51144.  1.93   1.42   1.39   8.4   -4.53  -37.84   -5.26   12.58   -0.24   -0.09   472
1981  36  5 51  36  5 51 50 50   4   1   0   -263      1  0.00     56    5.86    0.06    3.55   -4.31    4.52   -3.28    0.09    1.42   384.5  -384.2   -14.8     1.3   6.45   37534.  1.91   1.26   1.30   8.3   -4.52  -37.84   -5.27   12.63   -0.40   -0.06   446
1981  36  5 52  36  5 52 50 50   3   1   0   -253      7  0.01     49    5.81   -0.35    5.45   -1.84    5.74   -0.42    0.03    0.42   384.5  -384.2   -14.8     1.3   6.45   37534.  1.91   0.16   1.32   8.4   -4.52  -37.84   -5.27   12.97   -0.59   -0.17   429
1981  36  5 54  36  5 54 50 50   4   1 100   -217      3  0.01     46    5.96   -0.54    5.02   -2.92    5.59   -1.58    0.05    0.55   392.0  -391.6    -2.7    17.8   7.04   74428.  2.16   0.62   1.67   8.7   -4.50  -37.85   -5.28   12.61   -0.83   -0.52   400
1981  36  5 55  36  5 55 50 50   4   1 100   -206      3  0.01     49    6.09   -0.62    4.59   -3.79    5.38   -2.54    0.03    0.57   392.0  -391.6    -2.7    17.8   7.04   74428.  2.16   1.00   1.60   8.5   -4.50  -37.85   -5.28   12.50   -0.69   -0.49   392
1981  36  5 58  36  5 58 50 50   1   1 100   -110      0  0.00     25    6.07   -1.16    2.29   -5.49    3.56   -4.76    0.00    0.00   392.8  -392.2   -19.9     9.6   6.62   70488.  2.04   1.87   1.49   8.3   -4.48  -37.85   -5.29   12.32   -0.33   -0.31   404
1981  36  5 59  36  5 59 50 50   2   1 100    -78      5  0.01     28    6.12   -1.22    2.29   -5.53    3.57   -4.80    0.00    0.06   392.8  -392.2   -19.9     9.6   6.62   70488.  2.04   1.89   1.46   8.3   -4.48  -37.85   -5.29   12.36   -0.29   -0.22   395
1981  36  6  2  36  6  2 50 50   2   1 100     78      8  0.01      8    6.18   -0.35    1.45   -5.99    2.85   -5.46    0.00    0.04   387.7  -386.9   -24.3    -6.1   6.03   38186.  1.81   2.12   1.09   7.7   -4.47  -37.85   -5.30   12.34   -0.13   -0.07   377
1981  36  6  3  36  6  3 50 50   2   1 100    118     19  0.02     19    6.14   -0.84    1.19   -5.93    2.58   -5.47    0.02    0.29   387.7  -386.9   -24.3    -6.1   6.03   38186.  1.81   2.12   1.11   7.8   -4.47  -37.85   -5.30   12.16   -0.07   -0.39   378
1981  36  6  4  36  6  4 50 50   2   1 100    131     11  0.01     46    6.13   -1.02    1.11   -5.90    2.49   -5.46    0.01    0.22   397.7  -396.0   -29.1    22.9   7.38   73545.  2.33   2.17   1.65   8.8   -4.46  -37.85   -5.30   12.11   -0.06   -0.48   378
